Name,,Fiscal Year,Pitchbook Link,Company Name,Year Founded,Employee Growth ,Current Employees,Keywords,Verticals,All Industries,Lead/Sole Investors,# Follow-on Investors,Financing Status,Business Status,Deal Date,Total Invested Equity,Raised to Date,Deal Class,Deal Type,VC Round,Deal Type 2,Deal Size,Series,Deal No.,VC Round Up/Down/Flat,Current Financing Status,Financing Status Note,Current Business Status,Description,Investors,Deal Synopsis,Deal Date
Kroo,,,https://pitchbook.com/profiles/company/221945-05,Kroo,2016,"2021: 50, 2020: 47",80,"cash  payment software, e-money account, financial mobile application, money  exchange app, social payment, social payment platform","FinTech, Mobile, Mobile Commerce","Application Software, Financial Software*, Other Financial Services, Social/Platform Software",,,Venture Capital-Backed,Generating Revenue,31/12/2023,,,Venture Capital,Later Stage VC,6,Series C,,Series C,6,,Venture Capital-Backed,"The  company is reportedly seeking Series C venture funding from undisclosed  investors. Previously, the company raised GBP 26 million of venture  funding from Karlani Capital and Rudy Karsan on May 31, 2022. The funds  will be used in supporting the launch to market of the company's current  account, the development of their lending proposition, and the scaling  up of the company.",Generating Revenue,"Developer  of a payment mobile application designed to simplify cashless  transactions. The company's application offers its users to do share  payments using prepaid debit cards among the members of a social group,  enabling users to automate, secure and facilitate mobile payments and  improve the way how friends and families deal with money.",,"The  company raised GBP 184,000 of seed funding in a deal led by KR1 on  April 4, 2018. Milliwatt.io and Kenetic Capital also participated in  this round. The funds will be used to develop the company's blockchain  platform.",
Swoop (Financial Software),,,https://pitchbook.com/profiles/company/231457-06,Swoop (Financial Software),2018,"2021: 68, 2020: 58",80,"business financing, business funding, business loans, equity funding, equity platform, money shops application","FinTech, Mobile, SaaS, TMT","Financial Software*, Specialized Finance",,2,Venture Capital-Backed,Generating Revenue,13/06/2022,6.74,8.78,Venture Capital,Later Stage VC,4,Series A,6.74,Series A,8,,Venture Capital-Backed,"The  company raised GBP 5.4 million of Series A venture funding from Arab  Bank, IAG Capital Partners, and WeHo Ventures on June 13, 2022. Velocity  Capital Advisors and other undisclosed investors also participated in  the round. The funds will be used to accelerate international expansion,  with a particular focus on North America, as well as to enhance its  technology and proposition, aggregating banking, accounting, and credit  data.",Generating Revenue,"Developer  of one-stop money shop application designed to simplify and speed up  access to loans, grants, and equity funding. The company's application  leverages its advanced matching algorithm to identify the better  financing options for businesses and connects them to a network of  lenders, equity funds, and grant agencies, enabling clients to secure  funding for their businesses conveniently.","Arab Bank (AMM: ARBK), Enterprise Ireland, IAG Capital Partners, Velocity Capital Advisors, WeHo Ventures","The  company raised GBP 97,848 of angel funding from undisclosed investors  on March 20, 2018, putting the pre-money valuation at GBP 3.12 million.",
Fiat Republic,,,https://pitchbook.com/profiles/company/484063-30,Fiat Republic,2021,84.2125,25,"banking  api tool, crypto platform, crypto software solutions, e-money-regulated  platform, financial software tools, mobile payment & digital  wallet, payment platform","Cryptocurrency/Blockchain, FinTech, SaaS","Financial Software*, Other Financial Services",Credo Ventures,1,Venture Capital-Backed,Generating Revenue,08/06/2022,6,6,Venture Capital,Seed Round,1,Seed Round,6,,2,,Venture Capital-Backed,"The  company raised $6 million of seed funding in a deal led by Credo  Ventures on June 8, 2022. 8 other investors, strategic crypto platform  investors, and angels also participated in the round. The funds will be  used to expand the team with key hires across the business, accelerate  product development and pipeline growth, and fund the acquisition of  Paybase Limited.",Generating Revenue,"Developer  of crypto-focused, e-money-regulated BaaS platform designed to unlock  mainstream and local banking services for the top crypto platforms. The  company's platform offers a banking and payments API that lets crypto  platforms easily embed and automate fiat flows, enabling users to crack  the banking code.","Breega, Connect Ventures, Credo Ventures, Emerge (Accelerator), Expeditions Fund, Kindred Capital, Seedcamp, SoftBank Investment Advisers (Catherine Lenson), Speedinvest (Oliver Holle)","The  company raised GBP 79,410 of angel funding from undisclosed investors  on December 15, 2017, putting the company's pre-money valuation at GBP  979,390.",
Backd,,,https://pitchbook.com/profiles/company/498267-82,Backd,#N/A,#N/A,,"crypto exchange, defi system, defi wallets, liquidation management, nft platform, nft trade, reactive liquidity, token economy","Cryptocurrency/Blockchain, FinTech","Financial Software*, Other Financial Services",Advanced Blockchain (DUS: BWQ) (Simon Telian),,Venture Capital-Backed,Startup,07/06/2022,3.5,3.5,Venture Capital,Early Stage VC,1,Series A,3.5,Series A,1,,Venture Capital-Backed,"The  company raised $3.5 million of Series A venture funding in a deal led  by Advanced Blockchain on June 7, 2022. Maven 11 Capital, Struck  Capital, Divergence Ventures, Apollo Global Management and Spartan Group  also participated in the round.",Startup,"Developer  of a crypto-based consumer lending platform intended to automate  liquidity. The company offers the Defi protocol where users can register  loans on-chain to receive collateral top-ups for increasing the yield  and utility of crypto assets with reactive liquidity, enabling users to  deposit funds into liquidity pools and receive pool tokens.","Advanced Blockchain (DUS: BWQ) (Simon Telian), Apollo Global Management (NYS: APO), Divergence Ventures, Maven 11 Capital, Spartan Group, Struck Capital","The  company raised GBP 5.56 million of equity crowdfunding via Seedrs on  June 14, 2021, putting the company's pre-money valuation at GBP 25.17  million. Sprott Asset Management, Tokyo Commodity Exchange, NEC Capital  Solution, Bray Capital, and other undisclosed investors also  participated in the round. The funds will be used to maximize revenue  and organically grow the business.",
Bud,,,https://pitchbook.com/profiles/company/169783-84,Bud,2015,"2021: 166, 2020: 76, 2019: 70, 2018: 50, 2017: 23",167,"financial  software, open banking, open banking platform, open banking platform  developer, open banking platform provider, open banking products, open  banking services","FinTech, Mobile","Application Software, Financial Software*, Other Financial Services",TDR Capital (Gary Lindsay),1,Venture Capital-Backed,Generating Revenue,07/06/2022,80,112.88,Venture Capital,Later Stage VC,6,Series B,80,Series B,8,,Venture Capital-Backed,"The  company raised $80 million of Series B venture funding in a deal led by  TDR Capital on June 7, 2022. Outward Venture Capital also participated  in the round. The company will use the funding to grow its client base,  develop the firm's models and allow for further international expansion.  Previously, the company raised GBP 7.09 million of venture funding from  HSBC Strategic Innovation Investments and other undisclosed investors  on February 24, 2022, putting the company's pre-money valuation at GBP  35.52 million.",Generating Revenue,"Developer  of an open banking application designed to connect people, banks, and  service providers with one another. The company's platform combines open  banking data, APIs, and a connected marketplace to aggregate all the  bank accounts and spending in one place, enabling users to easily  connect their apps and data to other fintech companies and financial  service providers.","Outward Venture Capital, SEI Investments (NAS: SEIC), TDR Capital (Gary Lindsay)","The  company raised GBP 77,057 of angel funding from undisclosed investors  on February 5, 2019, putting the pre-money valuation at GBP 3.23  million.",
Euler XYZ,,,https://pitchbook.com/profiles/company/455735-62,Euler XYZ,2020,"2021: 12, 2020: 4",14,"blockchain  platform, blockchain platform software, decentralized finance,  decentralized finance lending, decentralized finance product,  decentralized financial platform, decentralized financing solutions","Cryptocurrency/Blockchain, FinTech","Financial Software*, Other Financial Services",Haun Ventures,,Venture Capital-Backed,Generating Revenue,07/06/2022,32,40.53,Venture Capital,Early Stage VC,3,Series A,32,Series A,4,Up Round,Venture Capital-Backed,"The  company raised $32 million of Series A venture funding in a deal led by  Haun Ventures on June 7, 2022, putting the company's pre-money  valuation at $343 million. Coinbase, FTX, Uniswap, Jump Crypto, Jane  Street Group and Variant Fund also participated in the round.",Generating Revenue,"Developer  of a blockchain system intended to provide a decentralized finance  platform. The company offers reactive interest rates, backed by control  theory, to allow interest rates to rapidly adapt to market conditions in  real-time along with asset-specific collaterals, enabling users with a  risk-minimized way to earn interest on a larger number of different  crypto assets.","Coinbase (NAS: COIN), FTX, Haun Ventures, Jane Street Group, Jump Crypto, Uniswap, Variant Fund","The  company raised GBP 520,000 of seed funding in a deal led by Anthemis  Exponential Ventures on December 8, 2016. Anthemis Group and Asseily  Ventures also participated in the round. The company intends to use the  funds to hire new people and launch in the UK.",
EverUp,,,https://pitchbook.com/profiles/company/458211-52,EverUp,2020,84.21527778,10,"debit  card rewards, financial services app, financial services company,  financial services platform, financial services product, financial  services suites, fintech, lending application, money application,  prize-linked savings, savings application",FinTech,"Financial Software*, Other Financial Services",,,Venture Capital-Backed,Startup,03/06/2022,0.65,2.06,Venture Capital,Early Stage VC,2,,0.65,,4,Up Round,Venture Capital-Backed,"The  company raised GBP 522,067 of venture funding from undisclosed  investors on June 3, 2022, putting the company's pre-money valuation at  GBP 9.64 million.",Startup,"Provider  of a prize-linked money and saving application intended to make saving  fun. The company's platform offers a digitally-native prize-linked suite  of money and saving accounts which rewards for saving by giving a  chance to win tax-free cash prizes, enabling users to accomplish all  types of financial transactions from saving to take out personal loans,  while being rewarded for solidifying good financial behaviours through a  prize-linked suite of saving and borrowing products.",,"The  company raised $823,770 of seed funding in a deal led by CoinShares  Ventures on June 6, 2018, putting the company's pre-money valuation at  $2.81 million. Stoic Real Estate Capital and ContactPartners also  participated in the round.",
Codat,,,https://pitchbook.com/profiles/company/267586-66,Codat,2016,"2021: 162, 2020: 81",280,"accounting  integration software, api, information integrated services, information  updates, software integration company, software integration management,  software integration tool",FinTech,"Business/Productivity Software, Financial Software*",J.P. Morgan Growth Equity Partners,2,Venture Capital-Backed,Generating Revenue,01/06/2022,103.56,180.28,Venture Capital,Later Stage VC,3,Series C,124.42,Series C,7,Up Round,Venture Capital-Backed,"The  company raised GBP 100 million of Series C venture funding through a  combination of debt and equity in a deal led by J.P. Morgan Growth  Equity Partners on June 1, 2022, putting the company's pre-money  valuation at GBP 741.77 million. PayPal Ventures, Shopify, Plaid, Canapi  Ventures, Index Ventures and other undisclosed investors also  participated in the round.",Generating Revenue,"Developer  of financial integration software intended to make data integration  seamless for the small business economy. The company helps to extract  information from a cloud accounting package or a payment terminal  immediately pushing sales information into company accounts, assists in  data mapping as well as develops infrastructure that gives businesses  the ability to create their own products, enabling clients to integrate  products with other applications thereby incurring low financial and  opportunity cost and increased coverage.","Canapi Ventures, Index Ventures, J.P. Morgan Growth Equity Partners, PayPal Ventures, Plaid, Shopify (TSE: SHOP)","The  company raised an undisclosed amount of seed funding from KR1, Version  One Ventures and 1Confirmation on October 3, 2019. Blockchain Capital  and Block0 also participated in the round.",
MARLO,,,https://pitchbook.com/profiles/company/327335-68,MARLO,2018,84.22152778,23,"lending  marketplace, lending platform developer, lending platform operator,  lending platform provider, maritime credit, maritime lending, maritime  loans, working capital","FinTech, Mobility Tech","Financial Software, Marine, Specialized Finance*",Fuel Ventures,,Venture Capital-Backed,Generating Revenue,01/06/2022,0.02,0.24,Venture Capital,Early Stage VC,2,,0.02,,3,Down Round,Venture Capital-Backed,"The  company raised GBP 14,952 of venture funding from Fuel Ventures and  other undisclosed investors in approximately June 2022, putting the  company's pre-money valuation at GBP 234,156.",Generating Revenue,"Operator  of an online lending marketplace designed to connect lenders and  borrowers in the maritime industry. The company's marketplace provides a  data-driven approach to evaluate credit risk in shipping and ship  operations and analytical tools to improve their visibility to the  global lending community, enabling small shipping companies to raise  capital with ease.",Fuel Ventures,"The  company raised GBP 17.22 million of Series B venture funding through a  combination of debt and equity on August 2, 2018, putting the company's  pre-money valuation at GBP 92.40 million. $13.19 of venture funding was  led by Dawn Capital with participation from Accenture Ventures, AlbionVC  and HSBC Innovation Investments. A $4.02 million of loan was provided  by undisclosed lenders.",
Native Teams,,,https://pitchbook.com/profiles/company/495456-67,Native Teams,#N/A,#N/A,43,"billing tool, employer recording services, employment options, global payroll, payroll services, spending manage",FinTech,"Business/Productivity Software, Financial Software, Media and Information Services (B2B)*",,,Venture Capital-Backed,Generating Revenue,01/06/2022,,,Venture Capital,Early Stage VC,1,,,,1,,Venture Capital-Backed,The company raised an undisclosed amount of venture funding from Haatch and Scott Weavers-Wright in June 2022.,Generating Revenue,"Developer  of payments and employer record services platform intended to offer  compliance and payroll services. The company's platform offers powerful  billing tools, payment, and proper employment options, enabling  freelancers and remote workers to manage their spending easily.","Haatch, Scott Weavers-Wright (Scott Weavers-Wright)","The  company raised GBP 6.26 million of venture funding from Downing  Ventures, Majlis Investment Management and other undisclosed investors  on May 5, 2020, putting the company's pre-money valuation at GBP 10.40  million.",
